thetap                 phip                     Fp_x (N)                 Fp_y (N)                 Fp_z (N)                 Tp_x (N*m)               Tp_y (N*m)               Tp_z (N*m)
10                       40                       0.11482606573482047      0.039931947800746596     -0.16931712341743127     -0.058251216089891644    0.25749579020329777      -0.03320014124776609
10                       50                       0.0807275061180082       0.030690322824046712     -0.1207413234806129      -0.059756369160334326    0.24207143285780192      -0.04068247948126939
10                       60                       0.06109974965108914      0.03901568731915696      -0.07263845265038292     -0.0516678049394287      0.22046168550883155      -0.046697055419737295
10                       70                       0.037891829066335876     0.025879897721016343     -0.02544273250361752     -0.038701945261973805    0.19911855514802185      -0.05107184721411784
10                       80                       0.021635093858163743     0.03566028830836843      0.0039332706852920705    -0.02056700679325852     0.19499996736570652      -0.0528815910689143
10                       90                       0.03405500855825591      0.01548909693944121      0.0016596984878980408    0.0011730297457337039    0.19513066003931417      -0.0555278661667975
10                       100                      -0.0042191648944159554   0.01393084089285844      0.00343506540352237      0.02101363723684781      0.19691351562201023      -0.054183832830525365
10                       110                      -0.008951605365857481    0.020492209759032425     -0.025787881331151428    0.039129399215856786     0.20502993209543374      -0.05003868614812536
10                       120                      -0.031224609597360578    0.02024107811379778      -0.068431197709293       0.05539455617247243      0.21881646207119043      -0.04505467998071607
10                       130                      -0.034724713656598155    0.019757400053728048     -0.13539786043178487     0.059220717593230124     0.24081448428799954      -0.03944626079410265
10                       140                      -0.053537114619034494    0.013874294482350278     -0.18513489747658282     0.058633049630209245     0.2607950221865356       -0.0325062237452248
10                       150                      -0.06397049334359922     0.016778243279798735     -0.2299255945626476      0.051422797463293375     0.27750168806038306      -0.02485514447774537
10                       160                      -0.06587911443050978     0.007100673024389656     -0.2746490336272587      0.03705735277242831      0.29333187886716494      -0.01761955179010917
10                       170                      -0.07740520957033996     0.009345086817801319     -0.2923340081620052      0.018725244966959594     0.30438247900136767      -0.009087716856977384
10                       180                      -0.06580763227888246     0.0014762472183563542    -0.3072066252367115      -3.9983498563346217E-4   0.30928655804674654      -0.001131469418545749
20                       0                        0.24002143077682367      -0.002154190031260292    -0.2310077549374946      8.141388424429338E-4     0.257588151405105        -6.843537857182625E-4
20                       10                       0.25731292222587815      0.027025199621505323     -0.22070830493173296     -0.015155192136978484    0.25423404807604005      -0.01690244064115024
20                       20                       0.2169910315881718       0.039877599130109846     -0.2200593115892407      -0.028943673294143053    0.24802825115591587      -0.03357696299549238
20                       30                       0.19774168275671383      0.04695003819421265      -0.17665442745151347     -0.03946926348239358     0.23483976606246587      -0.04951985923612927
20                       40                       0.1733191130174169       0.05293191691154049      -0.14612670823044285     -0.04569577170815472     0.21847645002631996      -0.06431922120051108
20                       50                       0.13778150772810752      0.04762644601225067      -0.1032754662539347      -0.04563530853095949     0.20286005081000952      -0.07698117243573042
20                       60                       0.09796395363661753      0.05014219923897412      -0.06460538037091437     -0.038114953222979996    0.18798809308506742      -0.08887848059254211
20                       70                       0.07070600021257732      0.05063735432680305      -0.039059952429824726    -0.02903513980037359     0.17507130365531068      -0.09573398146057588
20                       80                       0.05598502086790019      0.03664601053542706      -0.00592259095505544     -0.014063425831356783    0.16514223656636598      -0.10196555427334673
20                       90                       0.020406598173453493     0.0467938688608048       0.03224896847149191      -3.414100901718469E-5    0.16237617234673044      -0.10221788404604043
20                       100                      -0.019375239055443638    0.0408782386214962       -0.00607167718808465     0.017891401025542333     0.16618312642672975      -0.10038217492609897
20                       110                      -0.02603412538686198     0.046987158863684354     -0.041093617316628375    0.031456323392299076     0.17668905048140204      -0.09485015728551371
